arena,latitude,longitude
The Mirenda Center,39.8749735,-75.4426009
Ben Light Gymnasium,42.421658,-76.498564
Johnson Fieldhouse,44.8695479,-91.9277882
Pinnacle Bank Arena,40.817931,-96.7126194
Schwartz Center,39.866217,-75.3519669
TD Bank Sports Center,41.4142098,-72.9110904
Sioux Falls Arena,43.5620736,-96.7493109
Steelman Fieldhouse,33.5917582,-91.8135589
Freedom Hall,36.3243351,-82.3748699
Merner Gymnasium,35.4848472,-80.2798584
Morrow Field House,41.0604243,-80.0477292
John W. Pope Jr. Convocation Center,35.4078504,-78.7367719
Auburn Arena,32.6027517,-85.4924955
Westminster Gym,38.8482512,-91.956432
Loras AWC,42.502738,-90.681399
State Farm Center,40.0962468,-88.2359225
Alico Arena,26.4710622,-81.7646659
Gallagher-Iba Arena,36.1257301,-97.0650012
Ted Wilson Gymnasium,45.1999974,-123.1974188
Emil and Patricia Jones Convocation Center,41.7165542,-87.6084284
Nininger Hall,38.378879,-78.969386
Herrington Patriot Center,32.3147466,-95.2492653
McCabe Gym,21.2890245,-157.8077781
Panzer Athletic Center,40.8585038,-74.2000441
Stoutenburgh Gymnasium,42.9857452,-71.5046125
TAMIU Convocation Center,27.5712213,-99.4351158
Wadsworth Gymnasium,44.5682287,-69.6583929
Daniel P. Nolan Gymnasium,42.6640994,-73.7856653
Laughlin Center,40.1467737,-89.3432987
Dunn-Oliver Acadome,32.361776,-86.2931585
Montagne Center,30.0439428,-94.0708128
Spragins Hall,34.7311029,-86.6366601
Avron B. Fogelman Arena in Devlin Fieldhouse,29.939013,-90.1208204
Hanner Fieldhouse,32.4279054,-81.7801215
David J. Prior Convocation Center,36.976646,-82.5652949
Boydson Baird Gymnasium,35.7514166,-83.9641634
DeLoach Center,34.3752982,-80.066153
XFINITY Center,38.9954699,-76.9415131
McDermott Center,29.4681469,-98.4694139
Activity Center,46.804465,-100.785959
Stoltz Sports Center,42.497838,-90.6939669
A.E. Wood Coliseum,32.335343,-90.332615
CSU Fieldhouse,32.9807901,-80.0670864
Turner Gym,37.4006,-79.183153
Spaulding Gym,42.9258839,-72.2813447
Leavey Center,37.3491535,-121.9351697
Yanitelli Center,40.7277258,-74.073102
James H. Hilton Coliseum,42.021009,-93.634821
The McKenzie Arena,35.0503935,-85.3008572
NJIT's Wellness & Events Center,40.7422778,-74.1804995
Cousens Gym,42.4090835,-71.1156073
Field House,38.9058315,-76.9925728
Centennial Center,33.0765937,-83.2339096
Luce Fieldhouse/Gymnasium,41.3815896,-72.1030078
Kiefer Lakefront Arena,30.0301443,-90.0505073
White Auditorium,38.4043506,-96.1782453
TD Arena,32.7854388,-79.9343716
Maples Pavilion,37.4296225,-122.1606326
Galen Center,34.0208544,-118.2798524
FCH Assembly Center,32.5204266,-92.7237273
Recreation Center,42.5852302,-71.7927716
Edington Center,30.0319204,-99.1292344
Bender Arena,38.9377542,-77.0899073
