city,latitude,longitude
"Aurora, NY",40.715682,-73.964684
"Chestertown, MD",39.2089986,-76.0666126
"Des Moines, IA",41.5910641,-93.6037149
"Bowie, MD",38.9429659,-76.731234
"Durant, OK",33.9939861,-96.370824
"Waltham, MA",42.3756401,-71.2358004
"Cullowhee, NC",35.3096053,-83.1812804
"Fairbanks, AK",64.837845,-147.716675
"St. Bonaventure, NY",42.0803426,-78.4750213
"Magnolia, AR",-33.8678902,-60.5181376
"Davis, CA",53.1103334,-105.6567239
"Arcata, CA",40.866517,-124.08284
"Lisle, IL",41.801141,-88.0747875
"Rock Hill, SC",34.9248667,-81.0250784
"Edwardsville, IL",38.8114364,-89.953157
"Meadville, PA",41.641445,-80.151449
"St. Petersburg, FL",27.7703796,-82.6695085
"Houghton, NY",42.4233981,-78.1572319
"Appleton, WI",44.2611337,-88.4067604
"New Brunswick, NJ",40.4862174,-74.4518173
"Rapid City, SD",44.081176,-103.228006
"Milledgeville, GA",33.0801429,-83.2320991
"Oshkosh, WI",44.0206919,-88.5408574
"Hayward, CA",48.8032735,-123.7244026
"Takoma Park, MD",38.9778882,-77.0074765
"Vermillion, SD",42.7795273,-96.929101
"Macon, GA",32.8406946,-83.6324022
"Gunnison, CO",38.5458246,-106.9253207
"Murray, KY",36.6103334,-88.314761
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Nashua, NH",42.7653662,-71.467566
"Reading, PA",40.335345,-75.9279495
"Geneva, NY",42.8689552,-76.9777436
"Slippery Rock, PA",41.0639506,-80.0564468
"Newburgh, NY",41.5034271,-74.0104179
"Elmira, NY",42.0897965,-76.8077338
"Colchester, VT",44.54791,-73.155899
"Bellingham, WA",48.754402,-122.4788602
"Alliance, OH",40.9153362,-81.1059309
"Franklin, IN",39.4806056,-86.0549863
"Bakersfield, CA",35.3738712,-119.0194639
"Lowell, MA",42.6334247,-71.3161718
"Ashland, WI",46.5927574,-90.883917
"Gainesville, FL",29.6519396,-82.3249961
"Charlottesville, VA",38.029306,-78.4766781
"Big Rapids, MI",43.698078,-85.483656
"Alva, OK",36.8050308,-98.6664737
"Athens, GA",33.9550905,-83.3881868
"Golden, CO",39.755543,-105.2210997
"San Antonio, TX",29.4246002,-98.4951405
"St. Cloud, MN",45.5616075,-94.1642004
"Worcester, MA",42.2625932,-71.8022934
"Moorhead, MN",46.8739081,-96.7538674
"Wayne, NJ",40.9491723,-74.2376802
"Harrisonburg, VA",38.4493315,-78.8688833
"Villanova, PA",44.985725,9.2915544
"Wayne, NE",42.1941294,-97.169623
"Marshall, TX",32.5447756,-94.3661004
"Morrow, GA",33.5831662,-84.3393683
"Malibu, CA",49.28388955,-123.1371944
"Greeley, CO",40.4233142,-104.7091322
"Corpus Christi, TX",27.8002542,-97.3955744
"Waukesha, WI",43.0116784,-88.2314813
"Glassboro, NJ",39.7027677,-75.1119434
"Institute, WV",38.3836097,-81.7654665
