season,school_id,arena_comb,city,latitude,longitude
2009,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2010,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2016,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2017,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2018,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2011,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2012,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2013,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2014,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2015,193,"Cameron Indoor Stadium, Durham, NC","Durham, NC",35.9979158,-78.94237
2016,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2017,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2018,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2011,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2012,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2013,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2014,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2015,30123,"Kezar Pavilion, San Francisco, CA","San Francisco, CA",37.7675483,-122.4539336
2016,26172,"American Bank Center, Corpus Christi, TX","Corpus Christi, TX",27.808348,-97.393797
2017,26172,"American Bank Center, Corpus Christi, TX","Corpus Christi, TX",27.808348,-97.393797
2018,26172,"American Bank Center, Corpus Christi, TX","Corpus Christi, TX",27.808348,-97.393797
