site,latitude,longitude
"St. Cloud, Minn. (Halenbeck Hall)",45.5480155,-94.1523907
"PPL Center (Allentown, Pa.)",40.602668,-75.472915
"Rapid City, SD",44.0805434,-103.2310149
"Whittier, CA (Graham Athletic Center)",33.9757837,-118.0257321
"Las Vegas, NV - South Point Arena",36.0107111,-115.1782011
"Stockton, CA (Stockton Arena)",37.955989,-121.296031
"Civic Auditorium (Hilo, HI)",19.7180707,-155.0694545
"Charlotte, N.C. (Time Warner Cable Arena",35.2251426,-80.8392351
"Golden, Colo. (Lockridge Arena)",39.7510136,-105.2225705
"Sports Center; Galloway, NJ",39.4902894,-74.5314967
"Silver Spurs Arena, Kissimmee, Fla.",28.2989399,-81.3689867
"Wilmington, Del.",39.7390721,-75.5397878
"Defiance, Ohio  -- Weaner Center",41.2966243,-84.3583836
"Greensboro, N.C. - Greensboro Coliseum",36.058682,-79.826131
"Honolulu, HI (Stan Sheriff Center)",21.2942882,-157.8189039
"Hayward, CA",37.6688205,-122.0807964
"Dayton, OH (Nutter Center)",39.782096,-84.052137
"Lexington, VA",37.7840208,-79.4428157
"Brougham Pavilion: Seattle, Wash.",47.6512279,-122.3603456
"Nashua, NH",42.7653662,-71.467566
"Reading, PA",40.3356483,-75.9268747
"Quincy, Ill. (Pepsi",39.951082,-91.397494
Stan Sheriff Center - Honolulu,21.2942882,-157.8189039
Madison Square Garden,40.7505045,-73.9934387
"Bellingham, WA",48.7519112,-122.4786854
"University of Dayton Arena; Dayton, Ohio",39.7356112,-84.1997159
"Alliance, OH",40.9153362,-81.1059309
"Tiffin, Ohio",41.1144992,-83.1779746
"Keene, N.H. (Spaulding Gym)",42.9258839,-72.2813447
"Mohegan Sun Arena, Uncasville, Conn.",41.4911501,-72.0897019
"Laie, HI",21.6482858,-157.9225549
"Amalie Arena - Tampa, Fla.",27.9427373,-82.4517771
"Chicago, Ill. (Ratner Center)",41.794161,-87.6019229
"Tarble Pavilion (Swarthmore, Pa.)",39.900997,-75.3535776
"Cleveland, OH (Quicken Lo",41.4964797,-81.6882129
"Carter Center, Athens, W.Va.",37.4260914,-81.0055811
TD Arena,32.7854388,-79.9343716
"Lacey, WA",47.0342629,-122.8231915
"Stockton, CA",37.9577016,-121.2907796
"Little Rock, Ark. (Jack Stephens Center)",34.7283805,-92.3404998
"Allen, Texas",33.1031744,-96.6705503
"New Paltz, NY",41.7475933,-74.0868095
"Albany, N.Y.",42.6525793,-73.7562317
"Huntsville, AL",34.7303688,-86.5861037
Aquinas Hall Gymnasium -,41.0423558,-73.9359461
"St. Joseph, MO (MWSU Fieldhouse)",39.7598942,-94.7845282
"Georgetown, Texas",30.6332618,-97.6779842
"Henrietta, NY - Clark Gymnasium",43.0844212,-77.6738665
Penn State Fayette - Main Campus,39.9461131,-79.6586188
"Anaheim, CA",33.8365932,-117.9143012
"Indiana, Pa. (Kovalchick Complex)",40.6124254,-79.159922
"Carver Gym - Bellingham, WA",48.7359173,-122.4863432
"Cancun, MX",21.161908,-86.8515279
"Shreveport, La. (Gold Dome)",32.4809291,-93.7299013
"WEST CHESTER, Pa. (HOLLINGER FIELDHOUSE)",39.9516309,-75.6021271
"Purchase, N.Y. (Kennedy Gym)",41.0334846,-73.7165649
"Salisbury, NC",35.6709727,-80.4742261
Horsburgh Gymnasium,41.5043413,-81.6083838
"Logan, UT",41.7369803,-111.8338359
"TD Bank Arena / Charleston, S.C.",32.7854388,-79.9343716
"Springfield, Mass. (Blake Arena)",42.1046093,-72.5554201
"Pepsi Center, Denver, Colo.",39.74866,-105.00771
"Time Warner Cable Arena - Charlotte, NC",35.2251426,-80.8392351
"Concord, NH",43.2081366,-71.5375718
"Auburn Hills, Mich. (The Palace)",42.6788264,-83.246905
"San Bernardino, CA",34.1083449,-117.2897652
"Birmingham, Ala. (Legacy Arena)",33.5239475,-86.8127501
"Misenheimer, NC (Merner Gym_",35.4848472,-80.2798584
Lakefront Arena - New Orl,30.0301443,-90.0505073
"Wayne, N.J. (Recreation Center)",40.9563847,-74.2594274
"Indianapolis, IN",39.768403,-86.158068
"Memorial Hall - Dahlonega, Ga.",34.5288198,-83.9834377
"Albion, MI",42.243097,-84.7530304
COLISEO ROBERTO CLEMENTE,18.4158296,-66.0755353
"Conway, AR",35.0886963,-92.4421011
"Bangor, ME",44.8011821,-68.7778138
"Birmingham, Ala.|Bill Harris Arena-SIAC",33.4947227,-86.8741364
Leavey Center,37.3491535,-121.9351697
"Towson, Md. / SECU Arena",39.3873866,-76.6171503
"Virginia Beach, Va.",36.8529263,-75.977985
"Kent, Ohio - M.A.C. Center",41.1482226,-81.3439854
"Starkville, MS",33.4503998,-88.8183872
"Montgomery, AL",32.3668052,-86.2999689
"Times Union Center - Albany, NY",42.6485901,-73.7549371
"Dahlonega, GA",34.5261465,-83.9843953
"Conway, SC",33.8360034,-79.0478143
"Misenheimer, NC (Merner Gym)",35.4848472,-80.2798584
"Greencastle, IN",39.6444898,-86.8647316
"Hartford, CT",41.7637111,-72.6850932
"St. Paul, MN",44.9537029,-93.0899578
