season,school_id,latitude,longitude
2010,761,42.7539591,-76.7024485
2011,761,42.7539591,-76.7024485
2012,761,42.7539591,-76.7024485
2013,761,42.7539591,-76.7024485
2014,761,42.7539591,-76.7024485
2015,761,42.7539591,-76.7024485
2016,761,42.7539591,-76.7024485
2017,761,42.7539591,-76.7024485
2009,761,42.7539591,-76.7024485
2010,753,39.2188663,-76.0690036
2011,753,39.2188663,-76.0690036
2012,753,39.2188663,-76.0690036
2013,753,39.2188663,-76.0690036
2014,753,39.2188663,-76.0690036
2015,753,39.2188663,-76.0690036
2016,753,39.2188663,-76.0690036
2017,753,39.2188663,-76.0690036
2009,753,39.2188663,-76.0690036
2012,30134,44.4908172,-103.8593697
2013,30134,44.4908172,-103.8593697
2014,30134,44.4908172,-103.8593697
2015,30134,44.4908172,-103.8593697
2016,30134,44.4908172,-103.8593697
2017,30134,44.4908172,-103.8593697
2010,70,39.0067768,-76.7791365
2011,70,39.0067768,-76.7791365
2012,70,39.0067768,-76.7791365
2013,70,39.0067768,-76.7791365
2014,70,39.0067768,-76.7791365
2015,70,39.0067768,-76.7791365
2016,70,39.0067768,-76.7791365
2017,70,39.0067768,-76.7791365
2009,70,39.0067768,-76.7791365
2010,766,33.5801103,-85.0766113
2011,766,33.5801103,-85.0766113
2012,766,33.5801103,-85.0766113
2013,766,33.5801103,-85.0766113
2014,766,33.5801103,-85.0766113
2015,766,33.5801103,-85.0766113
2016,766,33.5801103,-85.0766113
2017,766,33.5801103,-85.0766113
2009,766,33.5801103,-85.0766113
2010,987,40.8953301,-83.8888288
2011,987,40.8953301,-83.8888288
2012,987,40.8953301,-83.8888288
2013,987,40.8953301,-83.8888288
2014,987,40.8953301,-83.8888288
2015,987,40.8953301,-83.8888288
2016,987,40.8953301,-83.8888288
2017,987,40.8953301,-83.8888288
2009,987,40.8953301,-83.8888288
2010,769,35.3137111,-83.1765333
2011,769,35.3137111,-83.1765333
2012,769,35.3137111,-83.1765333
2013,769,35.3137111,-83.1765333
2014,769,35.3137111,-83.1765333
2015,769,35.3137111,-83.1765333
2016,769,35.3137111,-83.1765333
2017,769,35.3137111,-83.1765333
2009,769,35.3137111,-83.1765333
2010,308,41.079273,-85.1393513
2011,308,41.079273,-85.1393513
2012,308,41.079273,-85.1393513
2013,308,41.079273,-85.1393513
2014,308,41.079273,-85.1393513
2015,308,41.079273,-85.1393513
2016,308,41.079273,-85.1393513
2017,308,41.079273,-85.1393513
2009,308,41.079273,-85.1393513
2010,596,42.0803426,-78.4750213
2011,596,42.0803426,-78.4750213
2012,596,42.0803426,-78.4750213
2013,596,42.0803426,-78.4750213
