Season,GameSlot,Site
2018,W11,"Dayton, OH"
2018,W16,"Dayton, OH"
2018,X11,"Dayton, OH"
2018,Z16,"Dayton, OH"
2018,R1W1,"Pittsburgh, PA"
2018,R1W2,"Detroit, MI"
2018,R1W3,"Dallas, TX"
2018,R1W4,"San Diego, CA"
2018,R1W5,"San Diego, CA"
2018,R1W6,"Dallas, TX"
2018,R1W7,"Detroit, MI"
2018,R1W8,"Pittsburgh, PA"
2018,R1X1,"Wichita, KS"
2018,R1X2,"Pittsburgh, PA"
2018,R1X3,"Detroit, MI"
2018,R1X4,"San Diego, CA"
2018,R1X5,"San Diego, CA"
2018,R1X6,"Detroit, MI"
2018,R1X7,"Pittsburgh, PA"
2018,R1X8,"Wichita, KS"
2018,R1Y1,"Charlotte, NC"
2018,R1Y2,"Nashville, TN"
2018,R1Y3,"Dallas, TX"
2018,R1Y4,"Boise, ID"
2018,R1Y5,"Boise, ID"
2018,R1Y6,"Dallas, TX"
2018,R1Y7,"Nashville, TN"
2018,R1Y8,"Charlotte, NC"
2018,R1Z1,"Nashville, TN"
2018,R1Z2,"Charlotte, NC"
2018,R1Z3,"Wichita, KS"
2018,R1Z4,"Boise, ID"
2018,R1Z5,"Boise, ID"
2018,R1Z6,"Wichita, KS"
2018,R1Z7,"Charlotte, NC"
2018,R1Z8,"Nashville, TN"
2018,R2W1,"Pittsburgh, PA"
2018,R2W2,"Detroit, MI"
2018,R2W3,"Dallas, TX"
2018,R2W4,"San Diego, CA"
2018,R2X1,"Wichita, KS"
2018,R2X2,"Pittsburgh, PA"
2018,R2X3,"Detroit, MI"
2018,R2X4,"San Diego, CA"
2018,R2Y1,"Charlotte, NC"
2018,R2Y2,"Nashville, TN"
2018,R2Y3,"Dallas, TX"
2018,R2Y4,"Boise, ID"
2018,R2Z1,"Nashville, TN"
2018,R2Z2,"Charlotte, NC"
2018,R2Z3,"Wichita, KS"
2018,R2Z4,"Boise, ID"
2018,R3W1,"Boston, MA"
2018,R3W2,"Boston, MA"
2018,R3X1,"Omaha, NE"
2018,R3X2,"Omaha, NE"
2018,R3Y1,"Atlanta, GA"
2018,R3Y2,"Atlanta, GA"
2018,R3Z1,"Los Angeles, CA"
2018,R3Z2,"Los Angeles, CA"
2018,R4W1,"Boston, MA"
2018,R4X1,"Omaha, NE"
2018,R4Y1,"Atlanta, GA"
2018,R4Z1,"Los Angeles, CA"
2018,R5WX,"San Antonio, TX"
2018,R5YZ,"San Antonio, TX"
2018,R6CH,"San Antonio, TX"
