TeamID,TeamName,FirstD1Season,LastD1Season,ncaa_id
1101,Abilene Chr,2014,2018,2
1102,Air Force,1985,2018,721
1103,Akron,1985,2018,5
1104,Alabama,1985,2018,8
1105,Alabama A&M,2000,2018,6
1106,Alabama St,1985,2018,7
1107,Albany NY,2000,2018,14
1108,Alcorn St,1985,2018,17
1109,Alliant Intl,1985,1991,
1110,American Univ,1985,2018,23
1111,Appalachian St,1985,2018,27
1112,Arizona,1985,2018,29
1113,Arizona St,1985,2018,28
1114,Ark Little Rock,1985,2018,32
1115,Ark Pine Bluff,1999,2018,2678
1116,Arkansas,1985,2018,31
1117,Arkansas St,1985,2018,30
1118,Armstrong St,1987,1987,33
1119,Army,1985,2018,725
1120,Auburn,1985,2018,37
1121,Augusta,1985,1991,39
1122,Austin Peay,1985,2018,43
1123,Ball St,1985,2018,47
1124,Baylor,1985,2018,51
1125,Belmont,2000,2018,14927
1126,Bethune-Cookman,1985,2018,61
1127,Binghamton,2002,2018,62
1128,Birmingham So,2003,2006,28593
1129,Boise St,1985,2018,66
1130,Boston College,1985,2018,67
1131,Boston Univ,1985,2018,68
1132,Bowling Green,1985,2018,71
1133,Bradley,1985,2018,72
1134,Brooklyn,1985,1992,79
1135,Brown,1985,2018,80
1136,Bryant,2009,2018,81
1137,Bucknell,1985,2018,83
1138,Buffalo,1992,2018,86
1139,Butler,1985,2018,87
1140,BYU,1985,2018,77
1141,C Michigan,1985,2018,129
1142,Cal Poly SLO,1995,2018,90
1143,California,1985,2018,107
1144,Campbell,1985,2018,115
1145,Canisius,1985,2018,116
1146,Cent Arkansas,2007,2018,1004
1147,Centenary,1985,2011,125
1148,Central Conn,1987,2018,127
1149,Charleston So,1985,2018,48
1150,Charlotte,1985,2018,458
1151,Chattanooga,1985,2018,693
1152,Chicago St,1985,2018,136
1153,Cincinnati,1985,2018,140
1154,Citadel,1985,2018,141
1155,Clemson,1985,2018,147
1156,Cleveland St,1985,2018,148
1157,Coastal Car,1987,2018,149
1158,Col Charleston,1992,2018,1014
1159,Colgate,1985,2018,153
1160,Colorado,1985,2018,157
1161,Colorado St,1985,2018,156
1162,Columbia,1985,2018,158
1163,Connecticut,1985,2018,164
1164,Coppin St,1986,2018,165
1165,Cornell,1985,2018,167
1166,Creighton,1985,2018,169
