season,school_id,player_id,player_name,jersey,pos,height,class
2012,2,14,1298653.0,"Bell, Antonio",G,5-9,Jr
2012,2,24,1298654.0,"Cooper, Da-Juan",F,6-6,Fr
2012,2,5,1298655.0,"Durant, Kendall",G,6-3,Jr
2012,2,99,,"Kelley, Paxton",F,6-7,Fr
2012,2,32,1298657.0,"Kibi, Eric",F,6-6,Sr
2012,2,98,,"King, Wes",G,6-3,Fr
2012,2,97,1298659.0,"Lewis, John",G,6-0,Fr
2012,2,1,1298660.0,"Little, Marc",G,5-10,Jr
2012,2,40,1189412.0,"Milam, Eric",C,6-7,Jr
2012,2,4,1189408.0,"Norman, Marcus",G,6-0,So
2012,2,13,1076997.0,"Simms, Dosh",F,6-5,Jr
2012,2,42,971131.0,"Warton, Ben",F,6-5,Sr
2012,2,20,1298661.0,"Williams, Armani",G,6-2,Jr
2012,2,21,1189410.0,"Williams, Zach",G,6-5,Sr
2012,2,11,1189409.0,"Woodberry, Desmond",G,6-2,Sr
2012,3,2,1292124,"Brown, Cliff",G,6-3,Jr
2012,3,12,1077993,"Calarco, John",G,6-2,Jr
2012,3,5,1077995,"Fitzgerald, Ky'Ron",G,5-10,Sr
2012,3,23,1178416,"Fraser, Gerard",F,6-7,So
2012,3,24,1292128,"Garcia, Chris",G,6-3,Fr
2012,3,44,957391,"Harkins, Richard",G,5-10,Sr
2012,3,10,957392,"Johnson, Robert",G,6-1,Sr
2012,3,1,1292123,"Jordan, Travis",F,6-6,Jr
2012,3,32,957393,"McDonald, Norron",F,6-6,Sr
2012,3,15,1292126,"Morgan, Duane",F,6-6,Fr
2012,3,3,1077998,"Ranglin, Chris",G,6-2,Jr
2012,3,4,1292125,"Ross, Kenny",G,6-0,Jr
2012,3,11,1178413,"Samuels, RJ",G,6-3,Sr
2012,3,22,1077999,"Simpson, Bradley",F,6-7,Jr
2012,3,21,1292127,"Sullivan, Edward",G,6-0,Fr
2012,4,3,1079568,"Barnes, Cody",G,5-10,Jr
2012,4,15,1294061,"Bywater, Jordan",G,6-0,Fr
2012,4,5,1079570,"Collins, Delano",G,5-11,Jr
2012,4,33,1079571,"Gallant, Sean",F,6-7,Jr
2012,4,21,1190842,"Gordon, Curtis",G,5-11,So
2012,4,15,1300857,"Hemingway, Ben",,-,N/A
2012,4,34,1294065,"Hohman, Brad",F,6-5,Fr
2012,4,25,1300855,"Keiswetter, Casey",,-,N/A
2012,4,10,1294059,"Kill, Ben",G,6-6,Fr
2012,4,24,1298830,"King, Brandon",,-,N/A
2012,4,25,1294063,"Leventis, Nick",F,6-4,Fr
2012,4,32,1294064,"Lewis, Eric",G,6-2,Fr
2012,4,24,1079573,"Mason, Dennis",F,6-5,Jr
2012,4,44,1294066,"Meier, Adam",C,6-5,Fr
2012,4,21,1300856,"Pack, Richaud",,-,N/A
2012,4,20,1294062,"Pelekh, Zinoviy",F,6-5,Fr
2012,4,2,1079576,"Reed, Wesley",G,-,Jr
2012,4,11,1294060,"Small, Mitchell",G,5-10,So
2012,4,4,1184771,"Torey, Drew",G,5-8,So
2012,4,1,1294058,"Whitby, Brad",G,6-2,Jr
2012,5,11,1177610,"Abreu, Alex",G,5-11,So
2012,5,3,1314454,"Avsec, Luke",G,5-10,So
2012,5,13,951071,"Cvetinovic, Nikola",F,6-8,Sr
2012,5,22,1177611,"Diggs, Quincy",F,6-6,Jr
2012,5,33,1177614,"Egner, Josh",F,6-7,So
2012,5,23,1177609,"Gilliam, Chauncey",G,6-5,Jr
2012,5,32,1177613,"Green, Michael",F,6-6,Fr
2012,5,10,1280775,"Harney, Nick",F,6-8,So
2012,5,4,1280774,"Ibitayo, Deji",G,6-4,Fr
2012,5,14,1521083,"Justice, Blake",G,6-3,Fr
2012,5,44,1070748,"Marshall, Zeke",C,7-0,Jr
2012,5,5,951073,"McClanahan, Brett",G,6-4,Sr
2012,5,15,1070747,"Oldham, C.J.",F,6-5,So
2012,5,12,951075,"Petersen, Kyle",G,6-4,Sr
2012,5,1,1280773,"Treadwell, Demetrius",F,6-7,So
2012,5,2,1177612,"Walsh, Brian",G,6-5,So
2012,6,45,1187673,"Alexander, Damien",C,6-8,Sr
2012,6,42,1296669,"Allen, Brandon",,-,N/A
2012,6,0,1176499,"Banks, Justin",C,7-0,So
2012,6,34,1176497,"Burke, Chris",C,6-8,So
2012,6,4,965959,"Cantey, Casey",F,6-5,Sr
2012,6,45,1296668,"Coleman, Devin",,-,N/A
2012,6,10,1176492,"Crutcher, Jeremy",G,5-8,So
2012,6,40,1176493,"Ellis, Brandon",G,6-3,So
2012,6,11,1296673,"Hardy, Eddie",,-,N/A
2012,6,12,1296672,"Hill, Green",,5-10,N/A
2012,6,55,1176498,"Hunter, Jerome",F,-,So
2012,6,33,1176494,"Hutchinson, Quintarius",G,6-4,So
2012,6,22,1296671,"Ingram, Jeremy",,-,N/A
2012,6,52,1302807,"Lanier, Anthony",,6-6,N/A
2012,6,24,965960,"Lee, Marcus",G,6-1,Jr
2012,6,20,1176495,"Long, Jose",F,6-5,So
2012,6,50,1176496,"Martin, Reginald",F,6-6,So
2012,6,35,1296670,"Mosley, Derrick",,-,N/A
2012,6,30,1176501,"Tabb, Demarquelle",F,-,Jr
2012,7,31,1293584,"Britton, De'Jon",G,6-2,Fr
2012,7,11,1070360,"Brown, Stephawn",F,6-4,Jr
2012,7,21,860578,"Butler, Tramaine",G,6-3,Sr
2012,7,11,1296681,"Crawford, Phillip",F,6-7,Jr
2012,7,15,1519724,"Jefferson, Jonathan",F,6-6,So
2012,7,12,1293585,"Johnson, Eugene",F,6-7,Fr
2012,7,3,1519727,"Mason, Josh",G,6-3,Jr
2012,7,4,952750,"Middlebrooks, Jeffery",G,6-0,Sr
2012,7,2,1293586,"Page, Luther",F,6-6,Fr
2012,7,22,1296680,"Price, Anthony",G,5-10,Jr
2012,7,20,1177768,"Washington, Kenderek",G,6-4,Sr
2012,7,10,952755,"Watts, Ryan",G,6-2,Jr
2012,7,5,864769,"White, Ivory",G,6-4,Sr
2012,7,40,1296679,"Wilson, Ralph",,-,N/A
2012,8,11,1288597,"Blackledge, Keon",G,6-3,Jr
2012,8,21,1288601,"Cooper, Rodney",G,6-6,Fr
2012,8,10,1512363,"Eblen, Ben",G,6-1,Jr
2012,8,4,1179783,"Engstrom, Carl",C,7-1,So
2012,8,13,1303807,"Goode, Julian",,6-7,N/A
2012,8,1,959790,"Green, JaMychal",F,6-8,Sr
2012,8,14,1512913,"Gueye, Moussa",C,7-0,So
2012,8,2,1398121,"Hankerson Jr., Charles",G,6-4,So
2012,8,15,1288599,"Jacobs, Nick",F,6-8,Fr
2012,8,3,1512225,"Lacey, Trevor",G,6-3,Fr
2012,8,5,1069648,"Mitchell, Tony",F,6-6,Jr
2012,8,32,1288602,"Obasohan, Retin",G,6-2,Fr
2012,8,20,1288600,"Randolph, Levi",G,6-5,Fr
2012,8,12,1179786,"Releford, Trevor",G,6-0,So
2012,8,13,1695447,"Slaughter, Dakota",,6-7,N/A
2012,8,22,959791,"Steele, Andrew",G,6-4,Jr
2012,9,21,1173552,"Hamga, Beas",C,6-11,Sr
2012,9,11,1282118,"Harrison, Herb",F,6-8,Fr
2012,9,23,1628445,"Jones, Isiah",G,6-4,Fr
2012,9,22,955824,"Moore, Cameron",F,6-10,Sr
2012,9,15,1282120,"O'Brien, Todd",C,6-11,Sr
2012,9,24,1173553,"Purifoy, Preston",G,6-5,So
2012,9,33,1282122,"Scotland-Williamson, Alexander",F,6-9,Jr
2012,9,0,1512439,"Soko, Ovie",F,6-8,Jr
2012,9,44,1173555,"Swing, Jordan",F,6-6,So
2012,9,25,1636606,"Taylor, Quincy",G,6-0,So
2012,9,10,1282117,"Tyler, Jekore",G,6-3,Jr
2012,9,12,1282119,"Whitaker, K.C.",G,6-6,Fr
2012,9,5,1069399,"Williams, Robert",G,6-4,So
2012,10,1,1298840,"Adams, Andrew",G,6-4,Fr
2012,10,25,1080367,"Baldwin, Xavier",G,6-3,Jr
2012,10,41,1172756,"Blasi, Conner",F,6-9,So
2012,10,32,713056,"Boskovic, Srdjan",F,6-6,Sr
2012,10,21,1080368,"Campbell, Zane",F,6-8,Jr
2012,10,54,1298839,"Carr, Will",C,6-11,Jr
2012,10,22,1295492,"Chapman, Taylor",G,6-1,Fr
2012,10,4,1298841,"Cosgrove, Garrett",F,6-7,Fr
2012,10,11,1172755,"Donovan, Andrew",G,6-8,So
2012,10,24,1298843,"Duke, Caleb",G,6-4,Fr
2012,10,33,1295493,"Mack, Ronnie",G,6-0,Fr
2012,10,2,961290,"Magette, Josh",G,6-1,Sr
2012,10,10,1298842,"Palmer, Spencer",G,6-3,Fr
