season,school_id,jersey,player_id,player_name,pos,height,class
2013,2,15,1398872,"Alexander, L.C.",F,4-Jun,Fr
2013,2,12,1398863,"Brown, T.J.",G,3-Jun,Fr
2013,2,32,1516072,"Cammock, Cornelius",F,5-Jun,Jr
2013,2,20,1398869,"Carr, Caleb",G,10-May,Fr
2013,2,24,,"King, Jonathan",F,5-Jun,Sr
2013,2,5,1398861,"Lawton, Eric",G,Jun-00,Sr
2013,2,4,1298659,"Lewis, John",G,Jun-00,So
2013,2,11,1398862,"Lloyd, Elliott",G,1-Jun,Sr
2013,2,60,1398871,"Payne, Riley",F,5-Jun,Fr
2013,2,21,1514338,"Rogers, Tyler",G,5-Jun,Fr
2013,2,13,1076997,"Simms, Dosh",F,5-Jun,Sr
2013,2,14,1189411,"Wait, Trevor",G,1-Jun,Fr
2013,2,3,1398860,"Wentz, Parker",G,9-May,Fr
2013,2,33,1398868,"Werner, Steven",C,8-Jun,Sr
2013,2,1,1398859,"White, Charles",G,1-Jun,Sr
2013,2,23,1189409,"Woodberry, Desmond",G,2-Jun,Sr
2013,3,2,1292124,"Brown, Cliff",G,3-Jun,Sr
2013,3,12,1077993,"Calarco, John",G,2-Jun,Sr
2013,3,5,1400531,"Crawford, Sean",G,10-May,Sr
2013,3,32,1400536,"DeNicola, Ryan",C,7-Jun,Fr
2013,3,24,1292128,"Garcia, Chris",G,3-Jun,So
2013,3,1,1292123,"Jordan, Travis",F,6-Jun,Sr
2013,3,10,1400532,"Libroia, Anthony",G,10-May,Fr
2013,3,20,1400535,"Lulgjuraj, Lindon",G,2-Jun,Fr
2013,3,4,1400530,"Mitchell, Nayquann",F,8-Jun,Sr
2013,3,15,1292126,"Morgan, Duane",F,6-Jun,So
2013,3,14,1400534,"Pierrot, Dan",G,3-Jun,Fr
2013,3,3,1077998,"Ranglin, Chris",G,2-Jun,Sr
2013,3,11,1178413,"Samuels, RJ",G,3-Jun,Sr
2013,3,22,1077999,"Simpson, Bradley",F,7-Jun,Sr
2013,3,44,1292127,"Sullivan, Edward",G,Jun-00,So
2013,4,21,1415604,"Allen, Donald",F,4-Jun,Fr
2013,4,3,1079568,"Barnes, Cody",G,10-May,Sr
2013,4,24,1413729,"Clay, Sheldon",G,5-Jun,Fr
2013,4,17,1415603,"Dewberry, Lorenzo",C,Apr-00,N/A
2013,4,5,1413727,"Flemister, Darryl",G,10-May,Fr
2013,4,33,1079571,"Gallant, Sean",F,7-Jun,Sr
2013,4,10,1425906,"Gaston-Rashid, Ameer",,9-May,N/A
2013,4,25,1423106,"Hannah, Jay",,-,N/A
2013,4,34,1294065,"Hohman, Brad",F,5-Jun,So
2013,4,15,1413728,"Jackson, Rickey",F,3-Jun,Fr
2013,4,11,1427755,"Jones, Treston",,Jun-00,N/A
2013,4,22,1419587,"Katterman, Ben",F,6-Jun,Fr
2013,4,32,1294064,"Lewis, Eric",G,2-Jun,So
2013,4,44,1294066,"Meier, Adam",C,5-Jun,So
2013,4,1,1413725,"Moore, Donovan",G,9-May,Fr
2013,4,11,1419160,"Morton, Dexter",G,5-Jun,Fr
2013,4,2,1413726,"Rodak, Ben",G,4-Jun,Fr
2013,4,20,1418330,"Romain, Brandon",G,3-Jun,Sr
2013,4,1,1420155,"Stepney, Nathan",,-,N/A
2013,4,4,1184771,"Torey, Drew",G,8-May,Jr
2013,5,11,1177610,"Abreu, Alex",G,11-May,Jr
2013,5,3,1314454,"Avsec, Luke",G,10-May,Jr
2013,5,12,1400931,"Betancourt, Carmelo",G,11-May,Fr
2013,5,33,1177614,"Egner, Josh",F,7-Jun,So
2013,5,34,1400932,"Forsythe, Pat",C,11-Jun,Fr
2013,5,23,1177609,"Gilliam, Chauncey",F,5-Jun,Sr
2013,5,10,1280775,"Harney, Nick",F,8-Jun,Jr
2013,5,30,1408770,"Hoisten, Darius",G,5-Jun,Fr
2013,5,4,1280774,"Ibitayo, Deji",G,4-Jun,So
2013,5,14,1521083,"Justice, Blake",G,3-Jun,Fr
2013,5,15,1400933,"Kretzer, Jake",F,7-Jun,Fr
2013,5,44,1070748,"Marshall, Zeke",C,Jul-00,Sr
2013,5,21,1400934,"McAdams, Reggie",F,7-Jun,Fr
2013,5,5,1408769,"Stalyga, Jonas",F,8-Jun,So
2013,5,1,1280773,"Treadwell, Demetrius",F,7-Jun,Jr
2013,5,2,1177612,"Walsh, Brian",G,5-Jun,Sr
2013,6,0,1176499,"Banks, Justin",C,Jul-00,Jr
2013,6,34,1518990,"Basil, David",F,7-Jun,Fr
2013,6,11,1413081,"Capers, Arthur",F,5-Jun,Jr
2013,6,4,1413077,"Colvin, Justin",G,3-Jun,Fr
2013,6,10,1176492,"Crutcher, Jeremy",G,8-May,Jr
2013,6,22,1413080,"Davis, Tyler",G,2-Jun,Fr
2013,6,40,1176493,"Ellis, Brandon",G,3-Jun,Jr
2013,6,12,1296672,"Hill, Green",G,10-May,Jr
2013,6,33,1414158,"Houston, Baryn",F,7-Jun,Fr
2013,6,52,1302807,"Lanier, Anthony",C,6-Jun,So
2013,6,20,1176495,"Long, Jose",F,5-Jun,Jr
2013,6,30,1176501,"Tabb, Demarquelle",F,-,Sr
2013,6,45,1413078,"Wagner, Justin",G,6-Jun,So
2013,6,35,1413079,"West, Nicholas",F,10-Jun,Fr
2013,7,55,,"Akkepenek, Umut",F,5-Jun,Fr
2013,7,14,1407862,"Armstrong, Tony",F,6-Jun,Fr
2013,7,24,1070360,"Brown, Stephawn",F,4-Jun,Sr
2013,7,5,1407859,"Brown, Bobby",F,7-Jun,Fr
2013,7,50,,"Burris, London",G,9-May,Fr
2013,7,40,,"Coleman, Tim",C,10-Jun,Jr
2013,7,11,1296681,"Crawford, Phillip",F,7-Jun,Sr
2013,7,4,1512112,"Freelove, Joshua",G,2-Jun,Jr
2013,7,25,1407866,"Green, Terrelle",G,2-Jun,Fr
2013,7,20,1737689,"Ingram, Billy",G,6-Jun,Fr
2013,7,35,,"Jackson, Devin",G,2-Jun,Fr
2013,7,15,1519724,"Jefferson, Jonathan",F,6-Jun,Jr
2013,7,30,1510592,"Key, Kimani",G,2-Jun,Fr
2013,7,3,1519727,"Mason, Josh",G,3-Jun,Sr
2013,7,21,1538180,"McDaniel, Denzel",G,-,Jr
2013,7,13,1634303,"Miller, Dominique",G,3-Jun,Fr
2013,7,0,1407857,"Neal, Devonte'",C,10-Jun,Fr
2013,7,2,1293586,"Page, Luther",F,6-Jun,So
2013,7,23,1407865,"Patterson, Shawntez",F,7-Jun,Sr
2013,7,22,1296680,"Price, Anthony",G,10-May,Sr
2013,7,45,,"Tucker, Eric",C,10-Jun,Jr
2013,7,12,1407860,"Waters, Jamel",G,9-May,Fr
2013,7,10,952755,"Watts, Ryan",G,2-Jun,Sr
