season,season_id,school_id,school_name,division
2009,10080,26172,A&M-Corpus Christi,1
2009,10080,721,Air Force,1
2009,10080,5,Akron,1
2009,10080,8,Alabama,1
2009,10080,6,Alabama A&M,1
2009,10080,7,Alabama St.,1
2009,10080,14,Albany (NY),1
2009,10080,17,Alcorn,1
2009,10080,23,American,1
2009,10080,27,Appalachian St.,1
2009,10080,29,Arizona,1
2009,10080,28,Arizona St.,1
2009,10080,2678,Ark.-Pine Bluff,1
2009,10080,31,Arkansas,1
2009,10080,30,Arkansas St.,1
2009,10080,725,Army West Point,1
2009,10080,37,Auburn,1
2009,10080,43,Austin Peay,1
2009,10080,77,BYU,1
2009,10080,47,Ball St.,1
2009,10080,51,Baylor,1
2009,10080,14927,Belmont,1
2009,10080,61,Bethune-Cookman,1
2009,10080,62,Binghamton,1
2009,10080,66,Boise St.,1
2009,10080,67,Boston College,1
2009,10080,68,Boston U.,1
2009,10080,71,Bowling Green,1
2009,10080,72,Bradley,1
2009,10080,80,Brown,1
2009,10080,81,Bryant,1
2009,10080,83,Bucknell,1
2009,10080,86,Buffalo,1
2009,10080,87,Butler,1
2009,10080,94,CSU Bakersfield,1
2009,10080,101,CSUN,1
2009,10080,90,Cal Poly,1
2009,10080,97,Cal St. Fullerton,1
2009,10080,107,California,1
2009,10080,115,Campbell,1
2009,10080,116,Canisius,1
2009,10080,125,Centenary (LA),1
2009,10080,1004,Central Ark.,1
2009,10080,127,Central Conn. St.,1
2009,10080,129,Central Mich.,1
2009,10080,48,Charleston So.,1
2009,10080,458,Charlotte,1
2009,10080,693,Chattanooga,1
2009,10080,136,Chicago St.,1
2009,10080,140,Cincinnati,1
2009,10080,147,Clemson,1
2009,10080,148,Cleveland St.,1
2009,10080,149,Coastal Caro.,1
2009,10080,1014,Col. of Charleston,1
2009,10080,153,Colgate,1
2009,10080,157,Colorado,1
2009,10080,156,Colorado St.,1
2009,10080,158,Columbia,1
2009,10080,165,Coppin St.,1
2009,10080,167,Cornell,1
2009,10080,169,Creighton,1
2009,10080,172,Dartmouth,1
2009,10080,173,Davidson,1
2009,10080,175,Dayton,1
2009,10080,176,DePaul,1
2009,10080,180,Delaware,1
2009,10080,178,Delaware St.,1
2009,10080,183,Denver,1
2009,10080,184,Detroit Mercy,1
2009,10080,189,Drake,1
2009,10080,191,Drexel,1
2009,10080,193,Duke,1
2009,10080,194,Duquesne,1
2009,10080,198,ETSU,1
2009,10080,196,East Carolina,1
2009,10080,201,Eastern Ill.,1
2009,10080,202,Eastern Ky.,1
2009,10080,204,Eastern Mich.,1
2009,10080,207,Eastern Wash.,1
2009,10080,1068,Elon,1
2009,10080,219,Evansville,1
2009,10080,28755,FGCU,1
2009,10080,231,FIU,1
2009,10080,220,Fairfield,1
2009,10080,222,Fairleigh Dickinson,1
2009,10080,229,Fla. Atlantic,1
2009,10080,235,Florida,1
2009,10080,228,Florida A&M,1
2009,10080,234,Florida St.,1
2009,10080,236,Fordham,1
2009,10080,308,Fort Wayne,1
2009,10080,96,Fresno St.,1
2009,10080,244,Furman,1
2009,10080,253,Ga. Southern,1
2009,10080,1092,Gardner-Webb,1
2009,10080,248,George Mason,1
2009,10080,249,George Washington,1
2009,10080,251,Georgetown,1
2009,10080,257,Georgia,1
2009,10080,254,Georgia St.,1
2009,10080,255,Georgia Tech,1
2009,10080,260,Gonzaga,1
2009,10080,261,Grambling,1
2009,10080,794,Green Bay,1
2009,10080,270,Hampton,1
2009,10080,272,Hartford,1
2009,10080,275,Harvard,1
2009,10080,277,Hawaii,1
2009,10080,19651,High Point,1
2009,10080,283,Hofstra,1
2009,10080,285,Holy Cross,1
2009,10080,288,Houston,1
2009,10080,290,Howard,1
2009,10080,2699,IUPUI,1
2009,10080,295,Idaho,1
2009,10080,294,Idaho St.,1
2009,10080,302,Ill.-Chicago,1
2009,10080,301,Illinois,1
2009,10080,299,Illinois St.,1
2009,10080,306,Indiana,1
2009,10080,305,Indiana St.,1
2009,10080,310,Iona,1
2009,10080,312,Iowa,1
2009,10080,311,Iowa St.,1
2009,10080,314,Jackson St.,1
2009,10080,316,Jacksonville,1
2009,10080,315,Jacksonville St.,1
2009,10080,317,James Madison,1
2009,10080,328,Kansas,1
2009,10080,327,Kansas St.,1
2009,10080,1157,Kennesaw St.,1
2009,10080,331,Kent St.,1
2009,10080,334,Kentucky,1
2009,10080,361,LIU Brooklyn,1
2009,10080,365,LSU,1
2009,10080,340,La Salle,1
2009,10080,498,La.-Monroe,1
2009,10080,342,Lafayette,1
2009,10080,346,Lamar University,1
2009,10080,352,Lehigh,1
2009,10080,355,Liberty,1
2009,10080,28600,Lipscomb,1
2009,10080,32,Little Rock,1
2009,10080,99,Long Beach St.,1
2009,10080,363,Longwood,1
2009,10080,671,Louisiana,1
2009,10080,366,Louisiana Tech,1
2009,10080,367,Louisville,1
2009,10080,371,Loyola Chicago,1
2009,10080,369,Loyola Maryland,1
2009,10080,370,Loyola Marymount,1
2009,10080,380,Maine,1
2009,10080,381,Manhattan,1
2009,10080,386,Marist,1
2009,10080,387,Marquette,1
2009,10080,388,Marshall,1
2009,10080,392,Maryland,1
2009,10080,400,Massachusetts,1
2009,10080,402,McNeese,1
2009,10080,404,Memphis,1
2009,10080,406,Mercer,1
2009,10080,415,Miami (FL),1
2009,10080,414,Miami (OH),1
2009,10080,418,Michigan,1
2009,10080,416,Michigan St.,1
2009,10080,419,Middle Tenn.,1
2009,10080,797,Milwaukee,1
2009,10080,428,Minnesota,1
2009,10080,430,Mississippi St.,1
2009,10080,432,Mississippi Val.,1
2009,10080,434,Missouri,1
2009,10080,669,Missouri St.,1
2009,10080,439,Monmouth,1
2009,10080,441,Montana,1
2009,10080,440,Montana St.,1
2009,10080,444,Morehead St.,1
2009,10080,446,Morgan St.,1
2009,10080,450,Mt. St. Mary's,1
2009,10080,454,Murray St.,1
2009,10080,488,N.C. A&T,1
2009,10080,489,N.C. Central,1
2009,10080,490,NC State,1
2009,10080,471,NJIT,1
2009,10080,726,Navy,1
2009,10080,463,Nebraska,1
2009,10080,466,Nevada,1
2009,10080,469,New Hampshire,1
2009,10080,473,New Mexico,1
2009,10080,472,New Mexico St.,1
2009,10080,474,New Orleans,1
2009,10080,482,Niagara,1
2009,10080,483,Nicholls St.,1
2009,10080,485,Norfolk St.,1
2009,10080,457,North Carolina,1
2009,10080,493,North Dakota St.,1
2009,10080,2711,North Florida,1
2009,10080,497,North Texas,1
2009,10080,500,Northeastern,1
2009,10080,501,Northern Ariz.,1
2009,10080,502,Northern Colo.,1
2009,10080,503,Northern Ill.,1
2009,10080,509,Northwestern,1
2009,10080,508,Northwestern St.,1
2009,10080,513,Notre Dame,1
2009,10080,514,Oakland,1
2009,10080,519,Ohio,1
2009,10080,518,Ohio St.,1
2009,10080,522,Oklahoma,1
2009,10080,521,Oklahoma St.,1
2009,10080,523,Old Dominion,1
2009,10080,433,Ole Miss,1
2009,10080,527,Oral Roberts,1
2009,10080,529,Oregon,1
2009,10080,528,Oregon St.,1
2009,10080,534,Pacific,1
2009,10080,540,Penn,1
2009,10080,539,Penn St.,1
2009,10080,541,Pepperdine,1
2009,10080,545,Pittsburgh,1
2009,10080,551,Portland,1
2009,10080,550,Portland St.,1
2009,10080,553,Prairie View,1
2009,10080,1320,Presbyterian,1
2009,10080,554,Princeton,1
2009,10080,556,Providence,1
2009,10080,559,Purdue,1
2009,10080,562,Quinnipiac,1
2009,10080,563,Radford,1
2009,10080,572,Rhode Island,1
2009,10080,574,Rice,1
2009,10080,575,Richmond,1
2009,10080,576,Rider,1
2009,10080,579,Robert Morris,1
2009,10080,587,Rutgers,1
2009,10080,676,SFA,1
2009,10080,660,SIUE,1
2009,10080,663,SMU,1
2009,10080,102,Sacramento St.,1
2009,10080,590,Sacred Heart,1
2009,10080,600,Saint Francis (PA),1
2009,10080,606,Saint Joseph's,1
2009,10080,609,Saint Louis,1
2009,10080,610,Saint Mary's (CA),1
2009,10080,617,Saint Peter's,1
2009,10080,624,Sam Houston St.,1
2009,10080,625,Samford,1
2009,10080,627,San Diego,1
2009,10080,626,San Diego St.,1
2009,10080,629,San Francisco,1
2009,10080,630,San Jose St.,1
2009,10080,631,Santa Clara,1
2009,10080,632,Savannah St.,1
2009,10080,635,Seton Hall,1
2009,10080,639,Siena,1
2009,10080,646,South Ala.,1
2009,10080,648,South Carolina,1
2009,10080,647,South Carolina St.,1
2009,10080,649,South Dakota St.,1
2009,10080,651,South Fla.,1
2009,10080,654,Southeast Mo. St.,1
2009,10080,655,Southeastern La.,1
2009,10080,657,Southern California,1
