school_id,season,city,arena,capacity
193,2009,"Durham, NC",Cameron Indoor Stadium,9314
193,2010,"Durham, NC",Cameron Indoor Stadium,9314
193,2016,"Durham, NC",Cameron Indoor Stadium,9314
193,2017,"Durham, NC",Cameron Indoor Stadium,9314
193,2018,"Durham, NC",Cameron Indoor Stadium,9314
193,2011,"Durham, NC",Cameron Indoor Stadium,9314
193,2012,"Durham, NC",Cameron Indoor Stadium,9314
193,2013,"Durham, NC",Cameron Indoor Stadium,9314
193,2014,"Durham, NC",Cameron Indoor Stadium,9314
193,2015,"Durham, NC",Cameron Indoor Stadium,9314
30123,2016,"San Francisco, CA",Kezar Pavilion,4000
30123,2017,"San Francisco, CA",Kezar Pavilion,4000
30123,2018,"San Francisco, CA",Kezar Pavilion,4000
30123,2011,"San Francisco, CA",Kezar Pavilion,4000
30123,2012,"San Francisco, CA",Kezar Pavilion,4000
30123,2013,"San Francisco, CA",Kezar Pavilion,4000
30123,2014,"San Francisco, CA",Kezar Pavilion,4000
30123,2015,"San Francisco, CA",Kezar Pavilion,4000
26172,2016,"Corpus Christi, TX",American Bank Center,8100
26172,2017,"Corpus Christi, TX",American Bank Center,8100
26172,2018,"Corpus Christi, TX",American Bank Center,8100
26172,2009,"Corpus Christi, TX",American Bank Center,8100
26172,2010,"Corpus Christi, TX",American Bank Center,8100
26172,2011,"Corpus Christi, TX",American Bank Center,8100
26172,2012,"Corpus Christi, TX",American Bank Center,8100
26172,2013,"Corpus Christi, TX",American Bank Center,8100
26172,2014,"Corpus Christi, TX",American Bank Center,8100
26172,2015,"Corpus Christi, TX",American Bank Center,8100
30093,2016,"Montgomery, AL",AUM Athletics Complex,2670
30093,2017,"Montgomery, AL",AUM Athletics Complex,2670
30093,2018,"Montgomery, AL",AUM Athletics Complex,2670
2,2016,"Abilene, TX",Moody Coliseum,4600
2,2017,"Abilene, TX",Moody Coliseum,4600
2,2018,"Abilene, TX",Moody Coliseum,4600
2,2009,"Abilene, TX",Moody Coliseum,4600
2,2010,"Abilene, TX",Moody Coliseum,4600
2,2011,"Abilene, TX",Moody Coliseum,4600
2,2012,"Abilene, TX",Moody Coliseum,4600
2,2013,"Abilene, TX",Moody Coliseum,4600
2,2014,"Abilene, TX",Moody Coliseum,4600
2,2015,"Abilene, TX",Moody Coliseum,4600
929,2016,"Alamosa, CO",Plachy Hall,2300
929,2017,"Alamosa, CO",Plachy Hall,2300
929,2018,"Alamosa, CO",Plachy Hall,2300
929,2009,"Alamosa, CO",Plachy Hall,2300
929,2010,"Alamosa, CO",Plachy Hall,2300
929,2011,"Alamosa, CO",Plachy Hall,2300
929,2012,"Alamosa, CO",Plachy Hall,2300
929,2013,"Alamosa, CO",Plachy Hall,2300
929,2014,"Alamosa, CO",Plachy Hall,2300
929,2015,"Alamosa, CO",Plachy Hall,2300
3,2016,"Garden City, NY",Center for Recreation and Sport,2200
3,2017,"Garden City, NY",Center for Recreation and Sport,2200
3,2018,"Garden City, NY",Center for Recreation and Sport,2200
3,2009,"Garden City, NY",Center for Recreation and Sport,2200
3,2010,"Garden City, NY",Center for Recreation and Sport,2200
3,2011,"Garden City, NY",Center for Recreation and Sport,2200
3,2012,"Garden City, NY",Center for Recreation and Sport,2200
3,2013,"Garden City, NY",Center for Recreation and Sport,2200
3,2014,"Garden City, NY",Center for Recreation and Sport,2200
3,2015,"Garden City, NY",Center for Recreation and Sport,2200
4,2016,"Adrian, MI",Merillat Center,1350
4,2017,"Adrian, MI",Merillat Center,1350
4,2018,"Adrian, MI",Merillat Center,1350
4,2009,"Adrian, MI",Merillat Center,1350
4,2010,"Adrian, MI",Merillat Center,1350
4,2011,"Adrian, MI",Merillat Center,1350
4,2012,"Adrian, MI",Merillat Center,1350
4,2013,"Adrian, MI",Merillat Center,1350
4,2014,"Adrian, MI",Merillat Center,1350
4,2015,"Adrian, MI",Merillat Center,1350
721,2016,"USAF Academy, CO",Clune Arena,5843
721,2017,"USAF Academy, CO",Clune Arena,5843
721,2018,"USAF Academy, CO",Clune Arena,5843
721,2009,"USAF Academy, CO",Clune Arena,5843
721,2010,"USAF Academy, CO",Clune Arena,5843
721,2011,"USAF Academy, CO",Clune Arena,5843
721,2012,"USAF Academy, CO",Clune Arena,5843
721,2013,"USAF Academy, CO",Clune Arena,5843
721,2014,"USAF Academy, CO",Clune Arena,5843
721,2015,"USAF Academy, CO",Clune Arena,5843
5,2016,"Akron, OH",James A. Rhodes Arena,5500
5,2017,"Akron, OH",James A. Rhodes Arena,5500
5,2018,"Akron, OH",James A. Rhodes Arena,5500
5,2009,"Akron, OH",James A. Rhodes Arena,5500
5,2010,"Akron, OH",James A. Rhodes Arena,5500
5,2011,"Akron, OH",James A. Rhodes Arena,5500
5,2012,"Akron, OH",James A. Rhodes Arena,5500
5,2013,"Akron, OH",James A. Rhodes Arena,5500
5,2014,"Akron, OH",James A. Rhodes Arena,5500
5,2015,"Akron, OH",James A. Rhodes Arena,5500
